,rewards
1601,-1.5625
1602,-4.0625
1603,-11.25
1604,-2.1875
1605,-4.0625
1606,-4.6875
1607,-1.25
1608,-9.0625
1609,-4.0625
1610,-0.3125
1611,-0.0
1612,-2.5
1613,-4.6875
1614,-3.75
1615,-6.5625
1616,-2.8125
1617,-2.5
1618,-3.4375
1619,-8.75
1620,-2.5
1621,-5.625
1622,-3.75
1623,-3.125
1624,-0.3125
1625,-4.6875
1626,-1.875
1627,-10.625
1628,-2.8125
1629,-2.5
1630,-2.8125
1631,-2.5
1632,-7.1875
1633,-11.5625
1634,-1.875
1635,-0.0
1636,-0.0
1637,-7.1875
1638,-1.875
1639,-7.1875
1640,-0.0
1641,-3.4375
1642,-4.0625
1643,-0.0
1644,-4.375
1645,-6.5625
1646,-2.5
1647,-1.875
1648,-11.5625
1649,-7.1875
1650,-2.8125
1651,-2.5
1652,-4.6875
1653,-5.9375
1654,-4.6875
1655,-0.0
1656,-6.5625
1657,-4.6875
1658,-0.0
1659,-0.0
1660,-10.0
1661,-1.25
1662,-6.5625
1663,-3.4375
1664,-5.9375
1665,-1.875
1666,-0.0
1667,-3.75
1668,-3.75
1669,-0.0
1670,-8.125
1671,-2.5
1672,-2.5
1673,-8.75
1674,-2.5
1675,-4.6875
1676,-5.0
1677,-1.875
1678,-1.5625
1679,-2.1875
1680,-6.875
1681,-12.5
1682,-9.0625
1683,-6.25
1684,-1.875
1685,-0.9375
1686,-0.0
1687,-3.4375
1688,-0.0
1689,-3.125
1690,-0.9375
1691,-7.812500000000001
1692,-4.0625
1693,-2.8125
1694,-3.4375
1695,-5.9375
1696,-1.875
1697,-3.125
1698,-6.5625
1699,-5.0
1700,-1.875
1701,-6.875
1702,-4.6875
1703,-4.375
1704,-3.4375
1705,-9.0625
1706,-0.625
1707,-1.875
1708,-0.0
1709,-11.875
1710,-5.3125
1711,-2.1875
1712,-4.375
1713,-10.625
1714,-3.75
1715,-5.3125
1716,-2.1875
1717,-2.5
1718,-3.125
1719,-3.4375
1720,-3.4375
1721,-0.0
1722,-9.0625
1723,-7.1875
1724,-0.0
1725,-0.0
1726,-6.875
1727,-5.0
1728,-5.3125
1729,-7.812500000000001
1730,-2.1875
1731,-0.0
1732,-2.1875
1733,-5.625
1734,-7.812500000000001
1735,-4.375
1736,-0.0
1737,-0.0
1738,-4.6875
1739,-4.6875
1740,-11.5625
1741,-3.75
1742,-1.875
1743,-7.5
1744,-0.0
1745,-1.875
1746,-3.125
1747,-9.0625
1748,-0.0
1749,-2.8125
1750,-0.0
1751,-6.25
1752,-11.5625
1753,-5.0
1754,-9.0625
